% Model:              wire_3D.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 25 2026, 17:42
% Dimension:          1
% Nodes:              752
% Expressions:        1
% Description:        Line graph
% x-coordinate (nm)       Electric field, z-component
1.7999999999999967        9.86617826791384E8
1.899999999999998         9.578343371240112E8
1.999999999999997         9.290967485395274E8
2.099999999999998         9.002599270868835E8
2.199999999999997         8.713772045513524E8
2.299999999999998         8.424944820158209E8
2.399999999999997         8.136117594802893E8
2.4999999999999982        7.857206287147374E8
2.5999999999999996        7.36342115298779E8
2.6999999999999984        6.85972010112842E8
2.799999999999999         6.356019049269036E8
2.8999999999999977        5.852317997409663E8
2.999999999999999         5.371235885916964E8
3.099999999999998         4.886775551438437E8
3.199999999999999         4.379696276593215E8
3.2999999999999976        3.8726170017480034E8
3.399999999999999         3.3655377269027805E8
3.499999999999998         3.0051263152491355E8
3.5999999999999988        2.5404967091195855E8
3.6999999999999975        1.9291992397984836E8
3.799999999999999         1.3179017704773685E8
3.899999999999998         7.066043011562699E7
3.999999999999999         1.414597591121381E7
4.099999999999998         -4.262994316890524E7
4.199999999999998         -1.0402115497672403E8
4.299999999999997         -1.6541236678454134E8
4.399999999999999         -2.2680357859236017E8
4.499999999999997         -2.6792780501825806E8
4.599999999999998         -2.943860016401694E8
4.699999999999997         -3.454287997744973E8
4.799999999999998         -3.964715979088255E8
4.899999999999997         -4.475143960431526E8
4.999999999999998         -4.975019034349551E8
5.099999999999997         -5.470372689554335E8
5.1999999999999975        -5.976279252184396E8
5.299999999999997         -6.48218581481444E8
5.399999999999999         -6.988092377444494E8
5.4999999999999964        -7.529059009253776E8
5.599999999999998         -7.826960485949295E8
5.699999999999996         -8.089801893465574E8
5.799999999999997         -8.352643300981852E8
5.899999999999996         -8.615484708498123E8
5.999999999999997         -8.868700662915812E8
6.099999999999996         -9.109848396910475E8
6.199999999999997         -9.360621584003727E8
6.299999999999995         -9.611394771096977E8
6.399999999999998         -9.862167958190237E8
6.4999999999999964        -1.0179231747207762E9
6.599999999999995         -1.0342870191781219E9
6.699999999999996         -1.0440218034430401E9
6.799999999999995         -1.0537565877079585E9
6.899999999999997         -1.0634913719728774E9
6.999999999999996         -1.0775791139372122E9
7.099999999999997         -1.091296256909197E9
7.199999999999996         -1.1006604421817648E9
7.299999999999996         -1.1100246274543328E9
7.399999999999995         -1.1193888127269E9
7.4999999999999964        -1.1287529979994671E9
7.546854872023135         -1.1357577512477138E9
7.547003979639635         -1.1357756782319052E9
7.547154039304842         -1.135793719679479E9
7.590401127419245         -1.1409932519578996E9
7.594007959279276         -1.1414268959209213E9
7.597914562823211         -1.1418965809820738E9
7.640564616069417         -1.1470243326573644E9
7.641011938918917         -1.1470781136099386E9
7.641462117914537         -1.1471322379526598E9
7.680802254838495         -1.1518620433729134E9
7.688015918558556         -1.1527293312989564E9
7.695829125646426         -1.1536687014212618E9
7.734274360115695         -1.156303371364437E9
7.812802483738498         -1.1583041532487283E9
7.815974717614078         -1.1584652662077246E9
7.93243471667125          -1.1643800933575244E9
7.934274360115695         -1.1644735260647135E9
8.012802483738497         -1.1684618506515868E9
8.015974717614078         -1.1686229636105828E9
8.13243471667125          -1.1745377907603817E9
8.134274360115695         -1.1746312234675708E9
8.212802483738496         -1.176937679845055E9
8.215974717614076         -1.1787362138613944E9
8.262584250860202         -1.1794613091418355E9
8.272056684584388         -1.1789284882363582E9
8.280802254838493         -1.1784365531331532E9
8.286429942841728         -1.1781199977573187E9
8.328496733625714         -1.1757537562814016E9
8.328923869113687         -1.1757297300676441E9
8.32904251343829          -1.175723056368117E9
8.329584830568445         -1.1756925512294421E9
8.381292125430098         -1.1727840349526157E9
8.38602834229219          -1.1725176244998775E9
8.390401127419244         -1.172271656948275E9
8.399700240218115         -1.1717485852809615E9
8.4428322445419           -1.1693224259360657E9
8.442959207273377         -1.1693152843292181E9
8.443014171146093         -1.1693121926316373E9
8.443194943522812         -1.1693020242520792E9
8.499999999999996         -1.1689077008899722E9
8.599999999999994         -1.169319535793236E9
8.699999999999996         -1.1683309006332102E9
8.799999999999995         -1.1673422654731846E9
8.899999999999997         -1.16635363031316E9
8.999999999999996         -1.1645610827673063E9
9.099999999999996         -1.1628640874489787E9
9.199999999999994         -1.1619710045164788E9
9.299999999999995         -1.1610779215839796E9
9.399999999999995         -1.1601848386514804E9
9.499999999999996         -1.1598607790844688E9
9.599999999999998         -1.1545327770050192E9
9.699999999999996         -1.151187449419187E9
9.799999999999997         -1.147842121833354E9
9.899999999999995         -1.1444967942475197E9
9.999999999999996         -1.1449775150838718E9
10.099999999999996        -1.1438975175032382E9
10.199999999999996        -1.1389914715004187E9
10.299999999999995        -1.1340854254975996E9
10.399999999999997        -1.1291793794947805E9
10.499999999999995        -1.1199464895434678E9
10.599999999999996        -1.1060508675378127E9
10.699999999999996        -1.0964820894806502E9
10.799999999999997        -1.086913311423487E9
10.899999999999995        -1.077344533366324E9
10.999999999999996        -1.0674889357510527E9
11.099999999999996        -1.0553673131820638E9
11.199999999999996        -1.0435325101711831E9
11.299999999999994        -1.0316977071603029E9
